Variety	Type
 PX	white
ÌĞsterreicher	white
_ilavka	white
_lahtina	white
Adalmiina	white
Addoraca	white
Aidani	white
Aidini	white
AirÌ©n	white
AlamÌ_s	white
Alarije	white
Alarijen	white
Albalonga	white
Albana	white
Albanella	white
Albanello bianco	white
Albaranzeuli bianco	white
Albarello	white
AlbariÌ±o	white
Albarola	white
Albillo	white
AlcaÌ±Ì_n	white
AligotÌ©	white
Alionza	white
Altesse	white
Alvarinho	white
Amigne	white
Ansonica	white
Antao Vaz	white
Aragnan blanc	white
Arany sÌÁrfehÌ©r	white
Arbane	white
Arbois	white
Arilla	white
Arinto	white
Arneis	white
Arnsburger	white
Arrufiac	white
Arrufiat	white
Arvesiniadu	white
Asprinio bianco	white
Assario branco	white
Assyrtico	white
Assyrtiko	white
Athiri	white
Aubin	white
Aubin blanc	white
Aubin vert	white
Aurelius	white
Auxerrois blanc	white
Avesso	white
Azal branco	white
Bacchus	white
Baco blanc	white
B€Äbeasc€Ä alb€Ä	white
Baiyu	white
Balzac blanc	white
Banat Riesling	white
Banat Rizling	white
Baratuciat	white
Barbera bianca	white
Barcelo	white
Bariadorgia	white
Baroque	white
Belina	white
Benedino	white
Besgano bianco	white
Bia blanc	white
Bianca	white
Biancame	white
Bianchello	white
Bianchetta Trevigiana	white
Bianchetti Genovese	white
Bianco d'Alessano	white
Biancolella	white
Biancone di Portoferraio	white
Biancu Gentile	white
Bical	white
Bigolona	white
Blanc de Morgex	white
Blatterle	white
Boais	white
Boal	white
BogdanuÁa	white
Bombino bianco	white
Borba blanca	white
Borrado das Moscas	white
Bosco	white
Bourboulenc	white
Bouvier	white
BratislavskÌ© biele	white
Breidecker	white
Brustiano bianco	white
Bual	white
Budai ZÌ¦ld	white
Bukettraube	white
Burger	white
CaÌ_Ì±o blanco	white
CalagraÌ±o	white
Camaralet	white
Canari blanc	white
Caprettone	white
Carica l'Asino	white
Carignan blanc	white
Cascarolo bianco	white
Catarratto	white
Cayetana	white
Cerceal	white
Cereza	white
Chardonnay	white
Chasan	white
Chasselas	white
Chenel	white
Chenin blanc	white
Clairette	white
Clare Riesling	white
Claret de Gascogne	white
Claret de Gers	white
Claverie	white
Cococciola	white
Cocur	white
Coda di Pecora	white
Coda di Volpe	white
Codega	white
Colombard	white
Completer	white
Cortese	white
Courbu	white
Courtillier MusquÌ©	white
Crato	white
Crato bianco	white
Crato branco	white
Criolla Grande	white
Crouchen	white
Cserszegi f±szeres	white
Cygne blanc	white
Dattier	white
Debina	white
Debit	white
Diagalves	white
Dimiat	white
Dinka	white
Dona blanca	white
Donzelinho branco	white
Doradillo	white
Drupeggio	white
Durella	white
Ehrenfelser	white
Elbling	white
Emerald Riesling	white
Emir Karasi	white
Encruzado	white
Erbaluce	white
Escanyavella	white
Esgana CÌ£o	white
Esquitxagos	white
EzerjÌ_	white
Faber	white
Faberrebe	white
Falanghina	white
False Pedro	white
Farana	white
Favorita	white
Fendant	white
FernÌ£o Pires	white
FernÌ£o Pires	white
Fernao Pires	white
Ferral	white
Feteasc€Ä alb€Ä	white
Feteasc€Ä regal€Ä	white
Fetiaska	white
FiÌ©	white
FiÌ©t	white
Fiano	white
Findling	white
Flora	white
Folle blanche	white
FologosÌ£o	white
Forastera	white
Forastera (Spanish grape)	white
Francavida	white
Francusa	white
Freiburger	white
Freisamer	white
Friulano	white
Fromenteau	white
Furmint	white
Galego Dourado	white
Garganega	white
Garnacha blanca	white
Garnacha blanca	white
Gellewza	white
GewÌ_rztraminer	white
GirÌ_ blanc	white
Glera	white
Gloria	white
Godello	white
Goldburger	white
Goldriesling	white
Gouais blanc	white
Gouveio	white
GrÌ_ner Veltliner	white
Graisse	white
Grasa	white
Grasa de Cotnari	white
Gras€Ä de Cotnari	white
Grauburgunder	white
Grecanico	white
Grechetto	white
Greco bianco	white
Green Hungarian	white
Grenache blanc	white
Grenache blanc	white
Grenache gris	white
Grey Riesling	white
Grignolino	white
Grillo	white
Grk Bijeli	white
Grolleau gris	white
Gros Manseng	white
Gros Plant	white
Guardavalle	white
Guarnaccia bianca	white
Gutenborner	white
HÌÁrslevel±	white
Hondarrabi Zuri	white
