variety,type
Abbuoto,red
Abouriou,red
Alexandroouli,red
Akhasheni,red
Abrusco,red
Acolon,red
Ada Karasi,red
Affenthaler,red
Agiorgitiko,red
Aglianico,red
Aglianicone,red
Agni (grape) [cs],red
Agronomica,red
Agua Santa,red
Aidani Mavro,red
Aladasturi,red
Albaranzeuli nero,red
Albarossa,red
Aleatico,red
Alexandroouli,red
Alexander,red
Alfrocheiro,red
Alicante Henri Bouschet,red
Allegro,red
Amaral,red
Ancellotta,red
André (grape) [cs],red
Antey Magarachsky,red
Aragónez,red
Aramon Noir,red
Areni,red
Argaman,red
Argant,red
Arinarnoa,red
Arinto de Bucelas,red
Arnsburger,red
Arrouya,red
Ashughaji,red
Aspiran Bouschet,red
Aspiran Noir,red
Assario,red
Asuretuli Shavi,red
Aubun,red
Avanà,red
Avarengo,red
Avgoustiatis,red
Băbească neagră,red
Babić,red
Bachet Noir,red
Baco Noir,red
Baga,red
Barbera,red
Barbera del Sannio,red
Barbera Sarda,red
Barsaglina,red
Bastardo Magarachsky,red
Beaunoir,red
Béclan,red
Beichun,red
Bekari,red
Belat,red
Béquignol Noir,red
Biborkadarka,red
Black Queen,red
Blatina,red
Blauburger,red
Blauer Arbst,red
Pinot Noir,red
Blauer Wildbacher,red
Blaufränkisch,red
Limberger,red
Bobal,red
Boğazkere,red
Bombino Nero,red
Bonamico,red
Bonarda Piemontese,red
Bonda,red
Bondola,red
Bondoletta,red
Bonicaire,red
Bonvedro,red
Borba,red
Borracal,red
Bouchalès,red
Bourrisquou,red
Bouteillan Noir,red
Bovale Grande,red
Bovale Sardo,red
Bracciola Nera,red
Brachetto del Piemonte,red
Brancellao,red
Braquet Noir,red
Brugnola,red
Brujidera,red
Brun Argenté,red
Brun Fourca,red
Brunal,red
Brunello,red
Bubbierasco,red
Buket,red
Busuioaca de Bohotin,red
Caberinta,red
Cabernet Carbon,red
Cabernet Carol,red
Cabernet Colonjes,red
Cabernet Cortis,red
Cabernet Cubin,red
Cabernet Dorio,red
Cabernet Dorsa,red
Cabernet Franc,red
Cabernet Gernischt,red
Cabernet Jura,red
Cabernet Mitos,red
Cabernet Moravia [cs],red
Cabernet Pfeffer,red
Cabernet Sauvignon,red
Cabernet Severny,red
Cabertin,red
Caddiu,red
Cagnulari,red
Caino Bravo,red
Caiño Tinto,red
Calabrese,red
Calabrese di Montenuovo,red
Caladoc,red
Calandro,red
Calitor Noir,red
Çalkarası,red
Callet,red
Caloria,red
Camaraou Noir,red
Camarate,red
Camarese,red
Campbell Early,red
Canaiolo Nero,red
Canari Noir,red
Canina Nera,red
Cannamela,red
Carcajolo Nero,red
Caricagiola,red
Carignan,red
Carinena,red
Carménère,red
Carmine,red
Carminoir,red
Carnelian,red
Carrasquin,red
Casavecchia,red
Cascade,red
Casculho,red
Casetta,red
Castagnara,red
Castelão,red
Castets,red
Castiglione,red
Catalanesca,red
Catanese Nero,red
Cavrara,red
Centesimino,red
Centurian,red
Cereza,red
Cesanese,red
César,red
Cevat Kara,red
Chambourcin,red
Charbono,red
Chancellor,red
Charentsi,red
Chatus,red
Chelois,red
Chenanson,red
Chichaud,red
Chidiriotiko,red
Chisago,red
Chkhaveri,red
Chondromavro,red
Cianorie,red
Cienna,red
Ciliegiolo,red
Cinsaut,red
Colombana nera,red
Colorino,red
Complexa,red
Cornalin see Rouge du Pays,red
Cornifesto,red
Corvina,red
Corvinone,red
Counoise,red
Croatina,red
Darnekuša,red
Dobričić,red
Dolcetto,red
Domina,red
Dornfelder,red
Douce noir,red
Charbono,red
Bonarda,red
Turca,red
Douce Noire grise,red
Dunkelfelder,red
Duras,red
Dureza,red
Durif,red
Petite Sirah,red
Ederena,red
Enfariné noir,red
Espadeiro,red
Étraire,red
Fer,red
Ferrón,red
Fetească neagră,red
Forcallat tinta,red
Fortana,red
Frappato,red
Freisa,red
Frühroter Veltliner,red
Fumin,red
Gaglioppo,red
Gamashara,red
Gamay,red
Gamay noir,red
Gamaret,red
Garanoir,red
Garnatxa,red
Grenache,red
Garnacha,red
Cannonau,red
Lladoner Pelut,red
Lledoner Pelut,red
Girò,red
Gouget noir,red
Graciano,red
Moristel,red
Juan Ibáñez,red
Miguel del Arco,red
Grand noir de la Calmette,red
Grisa nera,red
Greco nero,red
Grignolino,red
Gropello,red
Grolleau,red
Groslot,red
Gros Verdot,red
Gueuche noir,red
Helfensteiner,red
Heroldrebe,red
Hondarribi Beltza,red
Hron,red
Humagne Rouge,red
Cornalin d'Aoste,red
Joubertin,red
Jaubertin,red
Juan Garcia,red
Jurancon noir,red
Kadarka,red
Kakhet,red
Kalecik Karasi,red
Kindzmarauli,red
Saperavi,red
Kotsifali,red
Krasnostop Zolotovsky,red
Kratosija,red
Lacrima di Morro,red
Lacrima nera,red
Lagrein,red
Lambrusco,red
Liatiko,red
Limnio,red
Listan negro,red
Madrasa,red
Matrassa,red
Magarach Bastardo,red
Bastardo Magarach,red
Magaratch Ruby,red
Magarach Ruby,red
Magliocco Canino,red
Maiolica,red
Magliocco Dolce,red
Marsigliana nera,red
Magyarfrankos,red
Malbec,red
Auxerrois,red
Cot,red
Malvasia di Schierano,red
Malvasia nera,red
Mammolo,red
Mandelaria,red
Mandelari,red
Amorghiano,red
Mandolari,red
Manseng noir,red
Manto negro,red
Mara,red
Maratheftiko,red
Marselan,red
Marsigliana,red
Marzemino,red
Mauzac noir,red
Mavro,red
Mavrodafni,red
Mavrodaphne,red
Mavrud,red
Mavroudi,red
Mayorquin,red
Meghrabujr,red
Melnik,red
Mencía,red
Jaén colorado,red
Merenzao,red
Merille,red
Merlot,red
Milgranet,red
Millot,red
Léon Millot,red
Mission,red
Molinara,red
Mondeuse,red
Monica,red
Montepulciano,red
Montù,red
Montuni,red
Moreto,red
Moristel,red
Mornen noir,red
Morrastel Bouschet,red
Mourisco tinto,red
Mourvèdre,red
Monastrell,red
Mataro,red
Rossola nera,red
Garrut,red
Mouyssaguès,red
Mtevandidi,red
Mujuretuli,red
Muscardin,red
Muscat Bouschet,red
Muscat Hamburg,red
Nebbiolo,red
Negoska,red
Negrara,red
Négrette,red
Pinot St. George,red
Negroamaro,red
Negru de Dragasani,red
Nerkarat,red
Nero Buono di Cori,red
Nero d'Avola,red
Nerello Mascalese,red
Nerello Cappuccio,red
Neretto di Bairo,red
Neyret,red
Nielluccio,red
Ninčuša,red
Nocera,red
Notardomenico,red
Oeillade noire,red
Ojaleshi,red
Öküzgözü,red
Oseleta,red
Pais,red
Pallagrello nero,red
Pamid,red
Pascale di Cagliari,red
Pelaverga,red
Peloursin,red
Perdal,red
Perricone,red
Guarnaccia,red
Persan,red
Petit Bouschet,red
Petit Rouge,red
Petit Verdot,red
Piccola nera,red
Piedirosso,red
Pignerol,red
Pignola Valtellinese,red
Pignolo,red
Pineau d'Aunis,red
Pinot Meunier,red
Schwarzriesling,red
Müllerebe,red
Pinot noir,red
Spätburgunder,red
Blauburgunder,red
Pinot nero,red
Pinotage,red
Piquepoul noir,red
Plassa,red
Plavina,red
Brajda Mala,red
Brajdica,red
Bratkovina,red
Jurkovica,red
Marasovka,red
Modrulj,red
Plavac Plavina,red
Plavinac,red
Plavina Mala,red
Plavina Sitnah,red
Plavina Velka,red
Plavka,red
Plavka Mala,red
Velika Plavka,red
Pollera nera,red
Portan,red
Poulsard,red
Plousard,red
Prieto Picudo,red
Prokupac,red
Raboso,red
Ramisco,red
Reberger,red
Refosco,red
Refošk,red
Rimava,red
Roesler,red
Rondinella,red
Rossese,red
Rossignola,red
Rossolino nero,red
Rotberger,red
Rouchet,red
Ruché,red
Roche,red
Rubintos,red
Ruby Cabernet,red
Rufete,red
Tinta Pinheira,red
Tinta Carvalha,red
Rufeta,red
Sagrantino,red
Sangiovese,red
San Giuseppe nero,red
Saperavi,red
Schiava,red
Trollinger,red
Schioppettino,red
Schönburger,red
Sciacarello,red
Sciascinoso,red
Olivella nera,red
Segalin,red
Ségalin,red
Servanin,red
Sgaretta,red
Sgavetta,red
Shiraz,red
Syrah,red
Shiroka Melnishka Losa,red
Melnik,red
Sousão,red
Souzão,red
Sousón,red
St. Laurent,red
Svatovavrinecke,red
Saint-Macaire,red
Sumoll,red
Susumaniello,red
Tannat,red
Tarrango,red
Tazzelenghe,red
Tempranillo,red
Tinta Roriz,red
Ull de Llebre,red
Cencibel,red
Tinta del Pais,red
Teran,red
Termarina rossa,red
Teroldego,red
Teroldego Rotaliano,red
Terret noir,red
Thiniatiko,red
Tibouren,red
Tinta Amarela,red
Tinta Barroca,red
Tinta Caiada,red
Tinta Carvalha,red
Tinta Francisca,red
Tinta Madeira,red
Tinta Miuda,red
Tinta Negra Mole,red
Preto Martinho,red
Tinto Cão,red
Touriga Franca,red
Touriga Francesa,red
Touriga Nacional,red
Azal Espanhol,red
Preto de Mortágua,red
Turán,red
Trepat,red
Trevisana nera,red
Trincadeira,red
Castelão,red
Torneiro,red
Usakhelauri,red
Uva di Troia,red
Nero di Troia,red
Sumarello,red
Uva di Canosa,red
